Nº do item;Descrição do item;Unidade de medida de compra;Grupo de itens;;;;;;
16088;FILME ACAI SÃO PEDRO TERCEIRIZADAS ESPECIAL 1,02KG;KG;EMBALAGEM;;;;;;
16089;FILME ACAI TROPNAT TERCEIRIZADAS POPULAR 1,02KG;CX;EMBALAGEM;;;;;;
16090;FILME ACAI SAO PEDRO TERCEIRIZADAS ORGANICO MEDIO 1,02KG;KG;EMBALAGEM;;;;;;
16092;EIXO ARTICULADO REDUTOR SELADORA DBF 900W;UN;MATERIAL MANUTENCAO;;;;;;
16122;LONA ESTEIRA SELADORA DBF 900W;UN;MATERIAL MANUTENCAO;;;;;;
16123;PAPELAO RECICLAGEM;UN;RECICLAGEM;;;;;;
16154;TESTE PED ACAI BERRYSPOT GUA27 SR CNCA 1L;UN;PESQUISA E DESENV.;;;;;;
16157;SACO RAFIA ACAI SAO PEDRO TERCEIRIZADAS ESPECIAL 650 X 900 MM 40,8KG;UN;EMBALAGEM;;;;;;
16158;SACO RAFIA ACAI SAO PEDRO TERCEIRIZADAS MEDIO 650 X 900 MM 40,8KG;UN;EMBALAGEM;;;;;;
16159;SACO RAFIA ACAI SAO PEDRO TERCEIRIZADAS POPULAR 650 X 900 MM 40,8KG;UN;EMBALAGEM;;;;;;
16160;TESTE PED ACAI SUPERFRUIT GUA27 SR CNCA 1L;KG;PESQUISA E DESENV.;;;;;;
16161;SINALEIRO LED COM SIRENE 22MM 24V;UN;MATERIAL MANUTENCAO;;;;;;
16165;SACO RAFIA ACAI TROPNAT TERCEIRIZADAS FINO 650 X 900 MM 40,8KG;UN;EMBALAGEM;;;;;;
16176;CAIXA PAPELAO RT 320X170X160 MM SEM IMPRESSAO COM PICOTE - BONIFICACAO;UN;EMBALAGEM;;;;;;
16184;LIMPADOR CIF CREMOSO;UN;MATERIAL LIMPEZA;;;;;;
16192;TESTE PED FILME ACAI PETRUZ ORGANICO GUARANA PET APEX DUPLO 100G;KG;PESQUISA E DESENV.;;;;;;
16193;TESTE PED FILME ACAI PETRUZ ORGANICO PURE PET APEX DUPLO 100G;KG;PESQUISA E DESENV.;;;;;;
16228;TESTE PED CAMU CAMU PETRUZ LIO96 SR CPSA 1KG;KG;PESQUISA E DESENV.;;;;;;
16229;TESTE PED CUPUACU PETRUZ LIO96 SR CPSA 1KG;KG;PESQUISA E DESENV.;;;;;;
16256;FILME ACAI TOMER PET + PE 100G;KG;EMBALAGEM;;;;;;
16266;MISTURA PREPARO ALIMENTO BASE ACAI GUARANA JA ADOCADO 5LT;LT;INSUMOS DIRETOS;;;;;;
16267;MISTURA PREPARO ALIMENTO BASE ACAI  PROPOLIS MEL 5LT;LT;INSUMOS DIRETOS;;;;;;
16268;MISTURA PREPARO ALIMENTO BASE ACAI MEL PROPOLIS 5LT;LT;INSUMOS DIRETOS;;;;;;
16269;MISTURA PREPARO ALIMENTO BASE ACAI MEL 5LT;LT;INSUMOS DIRETOS;;;;;;
16274;TINTA ESMALTE SINTETICO AUTOMOTIVO CINZA TRENTO 3,6L;UN;MATERIAL MANUTENCAO;;;;;;
16282;ACAI REPROCESSO PUR30 CPSA BD;KG;REPROCESSO;;;;;;
16283;ACAI REPROCESSO PUR30 CPSA TB;KG;REPROCESSO;;;;;;
16285;MARACUJA PETRUZ INT11 SR CPSA 5KG CX4 EX;CX;P.A. FRUTAS EXPORT;;;;;;
16286;MARACUJA PETRUZ INT11 SR CPSA 5KG;UN;PRODUTO ELABORACAO;;;;;;
16289;TESTE PED ACAI PETRUZ PUR30 SR CNCA 1L;KG;PESQUISA E DESENV.;;;;;;
16305;VALVULA SOLENOIDE L14-M52-AT-G18-1P3 24VDC;UN;MATERIAL MANUTENCAO;;;;;;
16311;TESTE PED ACAI PELLET BLANK GUA27 8G 1KG;KG;PESQUISA E DESENV.;;;;;;
16316;SACO RAFIA BRANCO LISO;UN;RECICLAGEM;;;;;;
16340;TESTE PED ACAI SUPERFRUIT COCONUT PRE14 SR CNCA 200G EX;KG;PESQUISA E DESENV.;;;;;;
16343;TINTA BASE PASTEL ACETINADO RV 1490 GALAO 3,6;UN;MATERIAL MANUTENCAO;;;;;;
16345;AMOSTRA FILME ACAI SAO PEDRO POPULAR 1,02KG SEM IMPRESSAO;KG;EMBALAGEM;;;;;;
16351;TEX RANDO HD 46 1X20LT;LT;COMBUST E LUBRIFICAN;;;;;;
16364;ACAI GUARANA PETRUZ CLA18 SR OPCA 100G CX60;UND;P.A. BEBIDA MISTA;;;;;;
16365;AMOSTRA ACAI PETRUZ MOR27 SR CPCA 1L;KG;PESQUISA E DESENV.;;;;;;
16366;AMOSTRA ACAI PETRUZ BAN27 SR CPCA 1L;KG;PESQUISA E DESENV.;;;;;;
16378;TESTE PED ACAI RANDY MAN25 SR CNCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
16379;TESTE PED ACAI RANDY CAM25 SR CNSA 1L EX;KG;PESQUISA E DESENV.;;;;;;
16380;TESTE PED ACAI RANDY CUP20 SR CNCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
16423;TESTE PED ACAI BUENAZO BOWLS GUA22 SR CPCA 2L;KG;PESQUISA E DESENV.;;;;;;
16424;CAIXA PAPELAO TOMER 315X295X125 6KG;UN;EMBALAGEM;;;;;;
16425;SACO ACAI TOMER 400G;UN;EMBALAGEM;;;;;;
16430;COPO PAPEL AMOSTRAS FEIRAS;UN;MATERIAL MARKETING;;;;;;
16434;ACAI TOMER CLA12 OPCAO 100G EX;UND;PRODUTO ELABORACAO;;;;;;
16469;MODULO ZELIO LOGIC COM DISPLAY 12 E/S 24 VCC - SR2B121BD;UN;MATERIAL MANUTENCAO;;;;;;
16471;PITAYA POLPA INT8 SR CPSA 18KG BD;BD;P.A. ACAI EXPORT;;;;;;
16475;CHAVE GRIFO 18;UN;MATERIAL MANUTENCAO;;;;;;
16479;PARAFUSO ALLEN INOX M4 X 10MM;UN;MATERIAL MANUTENCAO;;;;;;
16480;PARAFUSO INOX SEXTAVADO M4 X 20MM;UN;MATERIAL MANUTENCAO;;;;;;
16491;ROLAMENTO 31307;UN;MATERIAL MANUTENCAO;;;;;;
16495;MODULO COMUNICACAO SIEMENS RTU/RS485 PARA MAG 6000;UN;MATERIAL MANUTENCAO;;;;;;
16496;TESTE PED ACAI PETRUZ GUA27 SR CNCA 1L;KG;PESQUISA E DESENV.;;;;;;
16499;CONTACTOR CWB25 220V;UN;MATERIAL MANUTENCAO;;;;;;
16503;TOMADA DUPLA SOBREPOR COM INTERRUPTOR;UN;MATERIAL MANUTENCAO;;;;;;
16512;CUPUACU PETRUZ LIO SR CPSA 4KG;UND;P.A. FRUTAS EM PO;;;;;;
16513;ACEROLA PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16514;CAMU CAMU PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16515;TESTE PED PITAYA NECTAR FRUITS MAN18 SR CPCA 5KG EX;KG;PESQUISA E DESENV.;;;;;;
16518;GRAXA LIQUIDA ALIMENTICIA LUBRIFICANTE IV FG 400G;UN;MATERIAL MANUTENCAO;;;;;;
16519;ACAI REPROCESSO GUA22 TB;KG;REPROCESSO;;;;;;
16520;ACAI REPROCESSO GUA22 BD;KG;REPROCESSO;;;;;;
16522;ACAI A3 REPROCESSO CAMU CAMU ZERO TB;KG;REPROCESSO;;;;;;
16524;ACAI A3 REPROCESSO CAMU CAMU ZERO BD;KG;REPROCESSO;;;;;;
16540;TESTE PED PITAYA NECTA FRUITS GOI20 SR CPCA 5KG EX;KG;PESQUISA E DESENV.;;;;;;
16553;ACAI PETRUZ LIO SR CNSA 4KG EX;UND;PRODUTO ELABORACAO;;;;;;
16569;PEDAL 582006585;UN;MATERIAL MANUTENCAO;;;;;;
16571;ABACAXI PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16572;PITAYA PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16573;TAPEREBA PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16576;MARACUJA PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16577;MANGA PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16578;GRAVIOLA PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16579;CAJU PETRUZ LIO SR CPSA 4KG;UND;P.A. FRUTAS EM PO;;;;;;
16580;GOIABA PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16581;ANEL ELASTICO 502080-I;UN;MATERIAL MANUTENCAO;;;;;;
16582;ANEL ELASTICO 501035-E;UN;MATERIAL MANUTENCAO;;;;;;
16583;PARAFUSO ALLEN INOX M12 X 30MM;UN;MATERIAL MANUTENCAO;;;;;;
16590;CHAPA CORTADA DOBRADA;M;MATERIAL MANUTENCAO;;;;;;
16594;ACAI REPROCESSO CLA13 SC;KG;REPROCESSO;;;;;;
16600;TESTE ACAI PETRUZ PRE14 SR OPSAO 1KG;KG;PESQUISA E DESENV.;;;;;;
16601;TESTE ACAI GUARANA CLA18 1KG EX;KG;PESQUISA E DESENV.;;;;;;
16607;TESTE ACAI PETRUZ PRE14 SR ONSAM 1KG;KG;PESQUISA E DESENV.;;;;;;
16611;ACAI PETRUZ GUA27 SR OPCA 10KG BD EX;CX;P.A. SORBET EXPORT;;;;;;
16612;BATA BRIM CINZA MANGA CURTA M LILAS;UN;UNIFORMES;;;;;;
16613;BATA BRIM CINZA MANGA CURTA P LILAS;UN;UNIFORMES;;;;;;
16614;CALCA BRIM CINZA G LILAS;UN;UNIFORMES;;;;;;
16615;CALCA BRIM CINZA M LILAS;UN;UNIFORMES;;;;;;
16616;CALCA BRIM CINZA P LILAS;UN;UNIFORMES;;;;;;
16617;CALCA BRIM VERDE M LILAS;UN;UNIFORMES;;;;;;
16618;CALCA BRIM VERDE P LILAS;UN;UNIFORMES;;;;;;
16619;CALCA OXFORD BRANCA G LILAS;UN;UNIFORMES;;;;;;
16623;CALCA OXFORD CINZA G LILAS;UN;UNIFORMES;;;;;;
16624;CALCA OXFORD CINZA GG LILAS;UN;UNIFORMES;;;;;;
16625;CALCA OXFORD CINZA M LILAS;UN;UNIFORMES;;;;;;
16626;CALCA BRIM VERDE G LILAS;UN;UNIFORMES;;;;;;
16627;CAMISA PV BRANCA BRIGADISTA G LILAS;UN;UNIFORMES;;;;;;
16630;CORREIA CORRUGADA VERDE 1560 X 50MM C/ GUIA INTERNA CENTRAL PB;UN;MATERIAL MANUTENCAO;;;;;;
16631;CORREIA CORRUGADA VERDE 1345 X 50MM C/ GUIA INTERNA CENTRAL PB;UN;MATERIAL MANUTENCAO;;;;;;
16637;RETENTOR 58X80X12;UN;MATERIAL MANUTENCAO;;;;;;
16639;RETENTOR 38X56X12;UN;MATERIAL MANUTENCAO;;;;;;
16640;TESTE ACAI PUR26 SR OPCA 2,9KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
16645;"CABO ACO 3/8""";UN;MATERIAL MANUTENCAO;;;;;;
16646;CALCA OXFORD CINZA P LILAS;UN;UNIFORMES;;;;;;
16647;CAMISA PV BRANCA BRIGADISTA M LILAS;UN;UNIFORMES;;;;;;
16649;CAMISA PV BRANCA G LILAS;UN;UNIFORMES;;;;;;
16650;CAMISA PV BRANCA M LILAS;UN;UNIFORMES;;;;;;
16651;CAMISA PV BRANCA MANGA LONGA BRIGADISTA G LILAS;UN;UNIFORMES;;;;;;
16654;CAMISA PV BRANCA P LILAS;UN;UNIFORMES;;;;;;
16655;CAMISA PV CINZA G LILAS;UN;UNIFORMES;;;;;;
16656;CAMISA PV CINZA GG LILAS;UN;UNIFORMES;;;;;;
16657;CAMISA PV BRANCA GG LILAS;UN;UNIFORMES;;;;;;
16670;CAMISA PV CINZA P LILAS;UN;UNIFORMES;;;;;;
16673;CAMISA PV MANGA LONGA BRANCA G LILAS;UN;UNIFORMES;;;;;;
16674;CAMISA PV MANGA LONGA BRANCA GG LILAS;UN;UNIFORMES;;;;;;
16675;CAMISA PV MANGA LONGA BRANCA M LILAS;UN;UNIFORMES;;;;;;
16676;CAMISA PV MANGA LONGA BRANCA P LILAS;UN;UNIFORMES;;;;;;
16677;JALECO BRANCO COM BOLSO G LILAS;UN;UNIFORMES;;;;;;
16680;TOUCA OXFORD FEMININA BRANCA LILAS;UN;UNIFORMES;;;;;;
16681;TOUCA OXFORD MASCULINA BRANCA LILAS;UN;UNIFORMES;;;;;;
16686;JALECO BRANCO VISITANTE SEM BOLSO GG LILAS;UN;UNIFORMES;;;;;;
16693;CAMISA PV BRANCA XG LILAS;UN;UNIFORMES;;;;;;
16694;CAMISA PV BRANCA XG VERDE;UN;UNIFORMES;;;;;;
16696;CAMISA PV CINZA XG LILAS;UN;UNIFORMES;;;;;;
16697;CALCA OXFOR CINZA XG LILAS;UN;UNIFORMES;;;;;;
16698;CALCA OXFORD CINZA XG VERDE;UN;UNIFORMES;;;;;;
16701;"LUVA REDUCAO GALVANIZADA 4 X 3""";UN;MATERIAL MANUTENCAO;;;;;;
16704;CONTROLADOR TC 900E LOG 04;UN;MATERIAL MANUTENCAO;;;;;;
16705;XAROPE GUARANA PETRUZ CONVENCIONAL SA TB;KG;SEMI ELABORADO;;;;;;
16706;TESTE PED ACAI TO GO GUA27 SR CNCA 1L;KG;PESQUISA E DESENV.;;;;;;
16711;TESTE PED ACAI PETRUZ BAN30 CPCL 5KG EX;KG;PESQUISA E DESENV.;;;;;;
16720;TESTE PED ACAI TO GO PUR30 SR CNCA 1L;KG;PESQUISA E DESENV.;;;;;;
16723;MANGA PETRUZ LIO SR CPSA 4KG;UND;P.A. FRUTAS EM PO;;;;;;
16724;CUPUACU PETRUZ LIO SR CPSA 200G;UND;P.A. FRUTAS EM PO;;;;;;
16725;COMPLEMENTAR DE PRECO;UN;SERVICOS GERAIS;;;;;;
16730;CONCENTRADO DE MACA EM PO;KG;PESQUISA E DESENV.;;;;;;
16731;MORANGO POLPA INT6 SR CNSA TB;KG;INGREDIENTES;;;;;;
16733;TONER BROTHER DCP-L2540DW;UN;MATERIAL EXPEDIENTE;;;;;;
16734;TONER HP LASER JET M1132 MFP;UN;MATERIAL EXPEDIENTE;;;;;;
16737;TESTE PED ACAI PETRUZ LIO SR OPCL 100G EX;UND;PESQUISA E DESENV.;;;;;;
16738;TONER IMPRESSORA HP LASERJET PRO 400 M401N;UN;MATERIAL EXPEDIENTE;;;;;;
16741;EXTRATO GUARANA ORGANICO SILVESTRE 25KG;KG;INSUMOS DIRETOS;;;;;;
16743;CAMISA LOGO PETRUZ APRENDIZ  G;UN;MATERIAL MARKETING;;;;;;
16744;CAMISA LOGO PETRUZ APRENDIZ  GG;UN;MATERIAL MARKETING;;;;;;
16752;ACAI ALMALIBRE GUA27 SR OPCAO 200G CX18 EX;CX;P.A. SORBET EXPORT;;;;;;
16753;ACAI ALMALIBRE GUA27 SR OPCAO 200G;UN;PRODUTO ELABORACAO;;;;;;
16759;CAMISA PV CINZA XG VERDE;UN;UNIFORMES;;;;;;
16775;ACAI REPROCESSO PRE14 SR ONSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
16776;ACAI REPROCESSO CLA12 SR ONSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
16777;ACAI REPROCESSO PRE14 SR CNSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
16778;ACAI REPROCESSO PRE14 SR ONSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
16779;ACAI REPROCESSO CLA12 SR ONSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
16780;ACAI REPROCESSO PRE14 SR CNSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
16781;ACAI REPROCESSO CLA12 SR CNSA 1,02KG SC40;SC;P.A. ACAI;;;;;;
16782;ACAI REPROCESSO CLA12 SR CNSA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
16796;"CONEXAO QSL 1/2 12""";UN;MATERIAL MANUTENCAO;;;;;;
16810;ACAI ADOCADO REPROCESSO PRE24 TB;KG;REPROCESSO;;;;;;
16827;ACAI REPROCESSO PUR26 OPSA TB;KG;REPROCESSO;;;;;;
16829;RETENTOR 20 X 47 X 7;UN;MATERIAL MANUTENCAO;;;;;;
16832;ACAI POLPA PRE14 SR ONCA TB;KG;INGREDIENTES;;;;;;
16834;CARNEIRA COM JUGULAR 3M;UN;SESMT;;;;;;
16848;CAIXA TERMICA COOLER 34L;UN;MATERIAL MARKETING;;;;;;
16874;RETENTOR 28.58 X 50.8 X 9.92;UN;MATERIAL MANUTENCAO;;;;;;
16875;ROLAMENTO RIGIDO DE ESFERAS 1 CARREIRA 50 X 110 X 27;UN;MATERIAL MANUTENCAO;;;;;;
16876;ROLAMENTO CONTATO ANGULAR DUAS CARREIRAS 50 X 110 X 44.4;UN;MATERIAL MANUTENCAO;;;;;;
16882;CHA QUINA AMARELA ORGANICA;KG;INGREDIENTES;;;;;;
16883;CHA QUINA BRANCA ORGANICA;KG;INGREDIENTES;;;;;;
16897;"UNIDUTE CONICO 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
16902;ACIDO CITRICO DINAMIZADO LIFE 01;KG;INSUMOS DIRETOS;;;;;;
16904;TESTE ACAI SAO PEDRO CLA12 R3 ONSA 1KG;KG;P.A. ACAI;;;;;;
16906;"SELO MECANICO 1.7/8"" GM BGMC2X02";UN;MATERIAL MANUTENCAO;;;;;;
16926;BASE PADRAO CONVENCIONAL AMAZON PLANET TB EX;KG;SEMI ELABORADO;;;;;;
16928;BATERIA 12V 5AH CSB HR1221W;UN;MATERIAL MANUTENCAO;;;;;;
16939;ACAI AMAZON PLANET PUR26 R3 OPSAO 10KG BD EX;BD;P.A. SORBET EXPORT;;;;;;
16940;CALDA ACAI AMAZON PLANET PUR26 R3 OPSAO TB EX;KG;SEMI ELABORADO;;;;;;
16941;BASE PADRAO ORGANICA AMAZON PLANET TB EX;KG;SEMI ELABORADO;;;;;;
16942;ACAI AMAZON PLANET PUR26 R3 OPSAO 380G CX8 EX;CX;P.A. SORBET EXPORT;;;;;;
16944;ACAI AMAZON PLANET PUR26 R3 OPSAO 380G EX;UN;PRODUTO ELABORACAO;;;;;;
16956;FILME BEBIDA SAO PEDRO FINO 1,02KG;KG;EMBALAGEM;;;;;;
16966;ANEL CENTRIFUGADOR;UN;MATERIAL MANUTENCAO;;;;;;
16968;HD SSD 480GB SATA;UN;BENS PEQUENO VALOR;;;;;;
16973;PLACA REDE WIFI;UN;BENS PEQUENO VALOR;;;;;;
16987;ACIDOS ORGANICOS DINAMIZADOS LIFE 09;LT;INSUMOS DIRETOS;;;;;;
16990;TOMADA DUPLA SOBREPOR 20A;UN;MATERIAL MANUTENCAO;;;;;;
16996;ANEL ORING 54.0 X 2.7 MM;UN;MATERIAL MANUTENCAO;;;;;;
17013;MODULO TOMADA RJ45 CAT6;UN;MATERIAL MANUTENCAO;;;;;;
17014;CORANTE VERMELHO AMARANTO;KG;INSUMOS DIRETOS;;;;;;
17017;ACAI ASPB CLA12 SR CNCA 1KG;KG;PRODUTO ELABORACAO;;;;;;
17019;ACAI GUARANA ROOTS CLA17 SR OPCA 400G CX16 EX;CX;P.A. B MISTA EXPORT;;;;;;
17020;ACAI GUARANA ROOTS CLA17 SR OPCA 100 EX;UN;PRODUTO ELABORACAO;;;;;;
17021;ACAI ROOTS CLA11 SR OPCA 100G EX;UN;PRODUTO ELABORACAO;;;;;;
17022;ACAI ROOTS CLA11 SR OPCA 400G CX16 EX;CX;P.A. ACAI EXPORT;;;;;;
17024;ACAI PETRUZ CLA12 SR CPSA 1,02KG CX20;CX;P.A. ACAI;;;;;;
17029;TESTE PED ACAI PETRUZ BAN27 SR CNCA 1L EX;KG;P.A. SORBET EXPORT;;;;;;
17030;ACAI REPROCESSO PUR26 CPSA TB;KG;REPROCESSO;;;;;;
17042;VALVULA ESFERA GBC 5/8;UN;MATERIAL MANUTENCAO;;;;;;
17046;RESISTENCIA CARTUCHO 1/2 X 200MM 500W 220V;UN;MATERIAL MANUTENCAO;;;;;;
17047;"SIFAO COBRE 2 1/8""";UN;MATERIAL MANUTENCAO;;;;;;
17054;SACOLA PAPEL PERSONALIZADA GRANDE;UN;MATERIAL MARKETING;;;;;;
17057;PARAFUSO PHILIPIS 3.5X14;UN;MATERIAL MANUTENCAO;;;;;;
17068;ACAI ASPB CLA12 SR OPCA 1,02KG;KG;PRODUTO ELABORACAO;;;;;;
17079;ACAI GUARANA PITAYA FOODS CLA18 SR OPCA 100G EX;UND;PRODUTO ELABORACAO;;;;;;
17080;ACAI PITAYA FOODS CLA12 SR OPCA 100G EX;UND;PRODUTO ELABORACAO;;;;;;
17081;ACAI GUARANA PITAYA FOODS CLA18 SR OPCA 400G CX8 EX;CX;P.A. ACAI EXPORT;;;;;;
17082;ACAI PITAYA FOODS CLA12 SR OPCA 400G CX8 EX;BD;P.A. ACAI EXPORT;;;;;;
17084;CAIXA MIX FORTALEZA 5L;UN;EMBALAGEM;;;;;;
17085;ACAI REPROCESSO AMAZON PLANET PUR26 R3 OPSAO BD;KG;REPROCESSO;;;;;;
17086;ACAI REPROCESSO AMAZON PLANET PUR26 R3 OPSAO TB;KG;REPROCESSO;;;;;;
17087;FILME PET + PE IMPRESSO PURE ACAI PITAYA FOODS 100G;KG;EMBALAGEM;;;;;;
17088;FILME PET + PE IMPRESSO ACAI + GUARANA PITAYA FOODS 100G;KG;EMBALAGEM;;;;;;
17089;CAIXA PAPELAO PITAYA FOODS 320 X 168 X 165 MM 3,2KG;UN;EMBALAGEM;;;;;;
17090;SACO BOPP MATTE + PET PITAYA FOODS PURE 190 X 250 X 0,20 MM 400G;UN;EMBALAGEM;;;;;;
17101;CORANTE EXBERRY PURPURA BORDEAUX;KG;INSUMOS DIRETOS;;;;;;
17102;SACO BOPP MATTE + PET PITAYA FOODS GUARANA 190 X 250 X 0,20 MM 400G;UN;EMBALAGEM;;;;;;
17111;CAIXA PAPELAO ACAI SO GOOD DIVISORIA 284 X 190 X 76 MM 1,2 KG;UN;EMBALAGEM;;;;;;
17125;"TE INOX 3""";UN;MATERIAL MANUTENCAO;;;;;;
17137;"VALVULA RETENCAO AGUA AR 3/4""";UN;MATERIAL MANUTENCAO;;;;;;
17142;COPO PROMOCIONAL PERSONALIZADO PETRUZ;UN;MATERIAL MARKETING;;;;;;
17169;CAIXA PAPELAO PITAYA FOODS GUARANA 320 X 168 X 165 MM 3,2KG;UN;EMBALAGEM;;;;;;
17170;FITA ADESIVA TRANSPARENTE 48X50MM;UN;EMBALAGEM;;;;;;
17175;RIBBON BRANCO 33X600;UN;MATERIAL MANUTENCAO;;;;;;
17177;TRAVA LIBERACAO AJUSTAVEL;UN;MATERIAL MANUTENCAO;;;;;;
17179;TUBO PLASTICO 8X5.5 NYLON 12 BRANCO;M;MATERIAL MANUTENCAO;;;;;;
17183;ACAI PELLET BLANK CLA12 SR OPCA 4G 1KG EX;KG;P.A. ACAI EXPORT;;;;;;
17188;"PINGADEIRA 17-1/4""";UN;MATERIAL MANUTENCAO;;;;;;
17192;VALVULA PROGRESSIVA AV2000-02-5DZ;UN;MATERIAL MANUTENCAO;;;;;;
17194;PINGADEIRA 049319;UN;MATERIAL MANUTENCAO;;;;;;
17195;BUCHA GUIA 014496;UN;MATERIAL MANUTENCAO;;;;;;
17196;CJ ALAVANCA EXTRACAO X47384;UN;MATERIAL MANUTENCAO;;;;;;
17197;LAMINA RASPAGEM PLASTICA;UN;MATERIAL MANUTENCAO;;;;;;
17201;PLACA 4X2 EMBUITR 2 POSTOS LIZ;UN;MATERIAL MANUTENCAO;;;;;;
17202;MODULO TOMADA RJ11 LIZ;UN;MATERIAL MANUTENCAO;;;;;;
17205;PLACA 1 POSTO VERTICAL 4X2 LIZ;UN;MATERIAL MANUTENCAO;;;;;;
17215;POTE ACAI FLAMENGO 250ML;UN;EMBALAGEM;;;;;;
17216;POTE ACAI FLAMENGO 500ML;UN;EMBALAGEM;;;;;;
17217;CAIXA PAPELAO FLAMENGO 300 X 200 X 220 MM 3,6KG;UN;EMBALAGEM;;;;;;
17218;DOREGEL BAF;KG;INSUMOS DIRETOS;;;;;;
17220;LIXEIRA SELETIVA 60 LITROS;UN;MATERIAL LIMPEZA;;;;;;
17222;OLEO MINERAL;LT;AMOSTRAS;;;;;;
17235;TESTE PED ACAI PETRUZ PRE14 SR CNCL 200G EX;KG;PESQUISA E DESENV.;;;;;;
17236;LAMPADA LED 100W E40 220V;UN;MATERIAL MANUTENCAO;;;;;;
17237;ACAI PETRUZ PRE19 SR CNSA 1KG;KG;P.A. ACAI;;;;;;
17238;ACAI PETRUZ PRE19 SR CNSA 1KG CX20;CX;P.A. ACAI;;;;;;
17247;CHAVE TORX L CURTA T-06;UN;MATERIAL MANUTENCAO;;;;;;
17253;UNIDADE CONTROLE - SE-E1 115/230V 50/60HZ;UN;MATERIAL MANUTENCAO;;;;;;
17256;ACAI BLANK PRE15 SR OPCA 1KG CX20 EX;CX;P.A. ACAI EXPORT;;;;;;
17257;ACAI BLANK PRE14 SR OPCL 100G CX70 EX;CX;P.A. ACAI EXPORT;;;;;;
17258;ACAI BLANK PRE15 SR OPCA 1KG EX;UN;PRODUTO ELABORACAO;;;;;;
17259;ACAI BLANK PRE14 SR OPCL 100G EX;UND;PRODUTO ELABORACAO;;;;;;
17260;ACAI PETRUZ REPROCESSO PRE19 SR CNSA TB;KG;REPROCESSO;;;;;;
17261;ACAI PETRUZ REPROCESSO PRE19 SR CNSA BD;KG;REPROCESSO;;;;;;
17276;SUPORTE PLASTICO PINGADEIRA 63877;UN;MATERIAL MANUTENCAO;;;;;;
17277;LAMINA AGITADOR X56591;UN;MATERIAL MANUTENCAO;;;;;;
17278;MANIPULO PRETO ALAVANCA EXTRACAO 56248;UN;MATERIAL MANUTENCAO;;;;;;
17280;PLACA INTERFACE 63967SER;UN;MATERIAL MANUTENCAO;;;;;;
17281;TAMPA FILTRO;UN;MATERIAL MANUTENCAO;;;;;;
17282;ACAI GUARANA PETRUZ CLA18 SR OPCA 400G CX16 EX;CX;P.A. B MISTA EXPORT;;;;;;
17285;FILTRO DRIER EK-165;UN;MATERIAL MANUTENCAO;;;;;;
17301;BORRACHA ACOPL PINOFLEX 57005500702;UN;MATERIAL MANUTENCAO;;;;;;
17320;"MANGUEIRA BORR RETA 1.1/4""X 90MM 1L AGUA RAD 57002221510";UN;MATERIAL MANUTENCAO;;;;;;
17331;ACAI REPROCESSO PRE14 SR CPCL BD;KG;REPROCESSO;;;;;;
17332;TESTE PED ACAI ALMALIBRE GUA25 SR CNCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
17333;TESTE PED ACAI ALMALIBRE ZERO SR CNCA 1L EX;KG;PESQUISA E DESENV.;;;;;;
17336;RESISTENCIA SELADORA A VACUO RG-500W;UN;MATERIAL MANUTENCAO;;;;;;
17337;MANTA TEFLON SELADORA RG-500W;UN;MATERIAL MANUTENCAO;;;;;;
17338;BORRACHA VEDACAO SELADORA A VACUO RG-500W;UN;MATERIAL MANUTENCAO;;;;;;
17340;ACAI NECTAR FRUITS BAN23 SR CPCA 5KG EX;CX;P.A. SORBET EXPORT;;;;;;
17341;CALDA ACAI NECTAR FRUITS BAN23 SR CPCA TB EX;TB;SEMI ELABORADO;;;;;;
17342;BASE ACAI NECTAR FRUITS BAN23 TB EX;KG;SEMI ELABORADO;;;;;;
17347;BASE ACAI NECTAR FRUITS GUA23 TB EX;KG;SEMI ELABORADO;;;;;;
17349;BASE PITAYA NECTAR FRUIT GOI24 SR CPCA TB EX;KG;SEMI ELABORADO;;;;;;
